primary_name,Branch Phone,Manager Name,Manager Contact,Concierge Contact1,Concierge Contact2,city
"Diamond Plaza, Jessore Road",8069028723,Mr.Kaushik Saha,7044400204,8584830034,8584830039.0,Kolkata
DLF Porur,8069028724,Abhijit Majumdar,8939805213,8939805212,8939805212.0,Chennai
"DN Regalia Mall, Patrapada",8069028768,Arunabha Maiti,7470777450,7470777451,7470777452.0,Bhubaneswar
"Downtown 44, NH-44",8288022587,Wasim Akhter,8288022591,8288022587,8288022586.0,Pathankot
"DSL Virtue Mall, Uppal",7396663410,Brajesh Kumar,7396663413,7396663410,7396663410.0,Hyderabad
"Durga Infinity Mall,Bailey Rd",8069028730,Avinash Ashutosh,9065520950,6232014121,6232014115.0,Patna
EDM MALL KAUSHAMBI,9205554978,Rahul Kumar,9289807918,9205554978,9205554977.0,Ghaziabad
Electronic City,8069028722,Rajeeb,7090757126,7090757059,7090757126.0,Bengaluru
"Elpro Mall, MG Road",8069028725,Manas,8657580748,8657580750,8657580751.0,Pune
"Eros Mall, Sector 20A",8448787450,SomPrakash,8448787447,8448787450,8448787451.0,Faridabad
"Eternity Mall, Amravati Road",8069028737,Vivek Purohit,8828432444,8828139187,8828139188.0,Nagpur
Ferozpur Road,8069028755,Pankaj Sharma,8591919910,8591919909,8591919902.0,Ludhiana
"Fiesta, Ashok Inox patna",7880105098,Avinash Ashutosh,7880105095,7880105098,7880105099.0,Patna
Fiesta - New Market,7225025261,Gourab Chatterjee,7225025260,7225025273,7225025274.0,Kolkata
Fiesta- Swaroop Nagar,9076666754,Abhishek Gupta,9151911040,9151911038,9151911036.0,Kanpur
Fiesta- Vega City Mall,7880107941,Ratan Das,7880107958,7880107941,7880107941.0,Bengaluru
"Forum Sujana Mall, Kukatpally",8069028720,ISHTIYAQUE,9121223360,9121223360,9121223360.0,Hyderabad
Fun Republic Lokhandwala Mumbai,8069028718,Mr.Irfan Ahmed Bhatt,8657020422,8657020425,8657020424.0,Mumbai
Fun Republic Mall,8069028740,PREMAN GURUNG,7024253654,7024123576,7024123585.0,Coimbatore
"Gaur Central Mall, Raj Nagar",8448091162,Jitendra Singh,8448091160,8448091162,8448091161.0,Ghaziabad
"Gaur City Mall, Sector 4",9311816422,Tarun Kumar,9311816424,9311816422,9311816423.0,Noida
GMS Road,8800690441,ANIL KUMAR,8800695066,8800690441,8800690463.0,Dehradun
"Grand Highstreet Mall,Hinjewadi",8069028725,Shakti,8657020436,8657020437,8657020438.0,Pune
"Grand Horizon Mall, Singhad Road",8069028725,Shivaji,8657988435,8657988437,8657988436.0,Pune
"Grand Mall, Sector 28",9350392874,Zishan,8130994710,9350392874,9310860899.0,Gurugram
Greater Noida Sec Beta 2,8448284503,TEJASWA CHAUHAN,8448284500,8448284503,8448284503.0,Noida
"Growels Mall, Kandivali",8069028718,Bibhash Sarkar,8657926431,8657926434,8657926434.0,Mumbai
GSM Mall Miyapur,8069028720,Manager,8121010853,8121010851,8121010852.0,Hyderabad
"Hotel Savoy Suites, Sector 16",9650727774,Tarun Kumar,8826691138,9650727774,8130816060.0,Noida
Indiranagar,8069028722,Tarik,7225025278,7090757068,7090757068.0,Bengaluru
"ITPL,Whitefield",8069028722,Rodriguez,9071703165,7090757086,7090757108.0,Bengaluru
"Jagat Mall, Gorakhpur Road",8069028792,Chitranjan Kumar,9311734458,9311734456,9311734457.0,Jabalpur
"Jessore Road, Barasat",8069028723,Mr.Hemanta Baruai,6232014130,6232014128,6232014123.0,Kolkata
"JHV Mall, The Mall Road",8069028709,DEEPAK CHOUBEY,8429361621,8429361625,8429361626.0,Varanasi
JP Nagar,8069028722,Basant,7090757107,7353535557,7353535557.0,Bengaluru
"Kakkanad, Airport Road",8069028706,MR.Niranjan Behera,7225022546,7225022545,7225022545.0,Kochi
Kalyan Nagar,8069028722,Nitish,7090757120,7090757087,7090757121.0,Bengaluru
Kalyani Nagar,8069028725,Ravindra Manmode,8828432430,8657413059,8657413060.0,Pune
Kanakpura Road,8069028722,Paritosh,7470777690,7470777483,7470777484.0,Bengaluru
"KNK Road, Nungambakkam",8069028724,Mr. Chanchal Ghosh,8939879981,8939887965,,Chennai
Kompally,8069028720,Manager,9154242496,9154242436,9154242436.0,Hyderabad
Kondapur,8069028720,BHASKAR,9121295483,9121295481,9121295481.0,Hyderabad
Koramangala 1st Block,8069028722,Mr Anarul Mondal,9071399811,9071399812,9071772467.0,Bengaluru
Koramangala 7th block,8069028722,Manish Kumar,9109124311,9109124309,9109124306.0,Bengaluru
Korum Mall Thane,8069028718,Laxmesh,9152016845,7718894891,7718894896.0,Mumbai
Kothapet,8069028720,SUKHEN SAMANTA,9154104165,9154104163,9154104163.0,Hyderabad
Lachit Nagar,8069028750,Amit Tiwati,9864109280,9864109282,9864109281.0,Guwahati
"Lake Mall, Kalighat",8069028723,Soumen Howladar,6290820150,6290820151,6290820152.0,Kolkata
"Lakshmipuram Main Rd,Ashok Ngr",8069028743,NARESH,9121002250,9121002230,9121002240.0,Guntur
Laxmi Nagar,9289807924,Prem Rawat,9289807917,928907924,9289807923.0,New Delhi
Lido Mall Mg Road,8069028722,Dipankar,7024253640,7090757135,7353160006.0,Bengaluru
"Lulu Global Mall, Rajajinagar",8069028722,Ramesh Chandra Suar,7225022565,7225022564,7225022564.0,Bengaluru
"Lulu Mall, Amar Shaheed Path",8069028749,Mr Dilip Kumar,7521001815,7521001811,7521001812.0,Lucknow
"Lulu Mall, Anayara",8069028739,Mr. Kapil Singh Chavan,7225022561,7225022566,7225022567.0,Trivandrum
"Lulu Mall, Edappally",8069028706,ARUN CHANDRAN NAIR,7225022562,7225018200,7225018199.0,Kochi
"M3M IFC, Sector 66",9289235108,Rajendra,9289235110,9289235108,9289235108.0,Gurugram
Madhurawada,8069028733,Manager,9154976818,7989106424,7989106424.0,Visakhapatnam
"Magneto Mall, Jivan Vihar",8069028786,Prasant Nath,8349701201,9953683486,9099116807.0,Raipur
"Mak Mall, Kankanady",8069028761,Bharath,7090757114,7090757125,8860426060.0,Mangalore
"Manghalam Towers, Reynolds Rd",8069028764,IFTKHAR ALI,8939836545,8939836541,8939836542.0,Trichy
"Marina Mall, Egattur",7880107398,Dinesh Madhavan,7880107390,7880107398,7880107398.0,Chennai
"Max Building, Circular Road",8069028767,Tabrez Ansari,6290821080,6290821084,6290821085.0,Ranchi
"Metro Junction Mall, Kalyan",8069028718,Nirbhay Pandey,7718882309,8828432450,8828432433.0,Mumbai
"Millenium Mall, KK Nagar",8069028763,Nirnay Gurung,8939836531,8939836527,,Madurai
Model Town,9205554981,Vijendra Singh,9289807919,9205554981,9205554980.0,New Delhi
"More Mega Mall, Marathahalli",9981421390,Tafsir,9981422508,9981421390,9981421390.0,Bengaluru
"Municipal Office Road, Noyyal",8069028788,Vinay Kumar,8939982942,8939982940,8939982941.0,Tirupur
"Nanakramguda Road, Gachibowli",8069028720,RAVI,7032643119,8125503007,8125503007.0,Hyderabad
"New Town, Rajarhat",8069028723,Mr.Kaushik Dutta,9073900150,9073900151,9073900155.0,Kolkata
Nexus Ahmedabad One Mall,7227030702,Mahendra Nath,8511177136,7227030702,7226088825.0,Ahmedabad
Nexus Amritsar Mall,8591920110,MR RAVI,8591920109,8591920110,8591920108.0,Amritsar
Nexus Mall,8069028760,Branch Manager,7225022530,7225022531,7225022531.0,Mysore
"Nexus Shantiniketan,Whitefield",8069028722,Pranav,7225022532,7225022533,7225022533.0,Bengaluru
Nexus Whitefiled,9071569992,Arif,9071569990,9071569992,9071569992.0,Bengaluru
"NVR Central, Grand Trunk Road",8069028784,Sanjeet Sahu,7993344092,7993344090,7993344091.0,Nellore
Omr,8069028724,Bapi Ruidas,8939879980,8939879993,,Chennai
"One Mall, Fraser Road Area",8069028730,Manish Roy,6232014120,9065520951,9065520956.0,Patna
"Orion Mall, Panvel",8069028718,Moslim,8433967242,8433967243,8433967242.0,Mumbai
"Pacific D21 Mall,Sec-21,Dwarka",9560200816,SARVESH YADAV,9560200815,9560200816,9560200817.0,New Delhi
"Panchsheel Colony, Garh Road",9068555680,Manoj Kumar,9068555679,9068555680,9068555681.0,Meerut
Paras One33 Mall,9289682956,Ankit Kumar,9289682955,9289682956,9289682957.0,Noida
Park Street,8069028723,Supriyo Sushanta Mondal,8584074082,8584074085,8584074083.0,Kolkata
"Parle Point, Athwa",8069028771,Happy Singh,9662000909,7574895695,7574895696.0,Surat
"Parle Square Mall, Vile Parle East",8657991736,Tarun Gupta,8657991745,8657991755,8657987930.0,Mumbai
Phoenix Market City,8069028722,Danish,7225025281,7225025282,7225025282.0,Bengaluru
"Phoenix Marketcity, Kurla West",8069028718,Shiv Singh Bisht,8828307510,9152018557,9152018558.0,Mumbai
"Pithapuram Road, Kakinada",8069028742,NARESH,9154152122,9154152122,9154152122.0,Kakinada
"Platina Mall, Howrah",8069028723,Md. Saha Alam,7225018198,9612775811,9612775812.0,Kolkata
Prahlad Nagar,8069028770,RAMAN ATTARI,8511177748,7227030703,7227030704.0,Ahmedabad
Prozone Mall,8069028736,Imran,7710011281,8657413490,,Aurangabad
"Punjabi colony, Gannipur",7880103052,Dilip Kumar Ram,7880103051,7880103052,7880103055.0,Muzaffarpur
"R Deccan Mall, JM Road",8069028725,Swapnil Mahor,8828139184,9152027746,9152027745.0,Pune
"Rainbow Road, Model Town",8069028756,Sahil Kumar,7087035506,7087035505,7087035509.0,Jalandhar
Rajpur Road,8755909500,DHIRENDRA SINGH,8755909501,8755909500,9311342300.0,Dehradun
"Rampur Garden, Civil Lines",8069028713,RAHUL RANJAN,7428693519,7428693505,7428693500.0,Bareilly
Rao Mall,8069028769,Tabrez Ali,7470777477,7470777475,7470777476.0,Bilaspur
"River Side Mall, Gomti Nagar",8069028749,SUNIL KUMAR,9580760001,7380494222,7380495222.0,Lucknow
"RMZ Azure, Hebbal",8069028722,Vinay Kumar,7225022560,7225022554,7225022554.0,Bengaluru
"Rohtas Summit, Gomti Nagar",8069028749,DINESH KUMAR GUPTA,9076666187,9076666188,7303926060.0,Lucknow
"Rosa Vista, Ghodbunder Road",8069028718,Brajesh Kumar,7718820225,8657001871,9222202746.0,Mumbai
"RSR Square Mall, Sandhya Circle",9154077664,BM,9154077665,9154077664,9154077664.0,Kadapa
"Rukmani Colony, AS Rao Nagar",8069028720,RAJU SHAW,9121276681,9121276680,9121276680.0,Hyderabad
"RV Square, Greater Kailash",8069028752,RAKESH KUMAR,8082071533,8082071833,8082076933.0,Jammu
Sachivalay Marg,8069028768,Madhusudhan Padhi,9090953060,6290918841,9090953061.0,Bhubaneswar
Salarpuria Sattva Knowledge City,9154700156,bm,9154700157,9154700156,9154700156.0,Hyderabad
"Saral Xperia Mall, Sky Forest",8069028770,Raman Attari,9662349911,7043335120,7043347421.0,Ahmedabad
Sarjapur Road,8069028722,Vijay,7024120839,7024120841,7024120842.0,Bengaluru
"Savoy Greens, GT Road",8069028793,Manoj Kumar,9311734453,9311734451,9311734452.0,Karnal
"Sayaji Hotel, Wakad",8069028725,Prince Malhotra,8879240115,7710013078,8879240115.0,Pune
"Sector 10, Rohini",8448184754,Lal Singh,8448184751,8448184754,8448184755.0,New Delhi
"Sector 11, Belapur",8069028718,Vipul,7710012243,7506449343,7710012243.0,Mumbai
Sector 26,7087034919,Sameer Kalia,9216423777,7087034919,7087034919.0,Chandigarh
"Sector 5, Nerul",8069028718,Vikram Singh,8433702799,7208001855,8657991744.0,Mumbai
"Sector 5, Salt Lake",8069028723,Mr.Bibhash Sarkar,9831246111,9330143362,9330143363.0,Kolkata
Sector 59,7087099717,Devendra Singh Nainwal,8169705327,7087099717,7087099718.0,Mohali
"Sector C, Vasant Kunj",9717466433,Pradeep Singh Chauhan,9717455633,9717466433,9717466433.0,New Delhi
"Sector E, Aliganj",8069028749,Prabhat Sharma,9151911033,9151911031,9151911032.0,Lucknow
"Selex Mall, East Fort",8069028787,Raju Biswas,7024123561,8113898800,8113898811.0,Thrissur
"Sentrum Mall, Kanyapur",8069028794,Anish Chowdhury,7225025267,7225025257,7225025258.0,Asansol
Sevoke Road,6289800524,Vikram Dogra,6289800520,6290918836,6289800524.0,Siliguri
Sharda College Road,8069028762,ARUN KUMAR BISWAS,8939836525,8939836521,8939836522.0,Salem
Sohna Road,7042698050,Neeraj,7042698053,7042698050,7042698063.0,Gurugram
South Extension II,9717135925,Vipin,9717134307,9717135925,9717134824.0,New Delhi
"Square Mall, Civil Lines",8069028710,MANAS KUMAR,7318344222,7318522444,7523822444.0,Prayagraj
"SS Omnia Mall, Sector 86",8069028728,Srimanta,9289235101,9289235105,9289235104.0,Gurugram
"Stellar IT Park, Sector 62",8448184749,Rahul,8448184745,8448184748,8448184749.0,Noida
STV Nagar,8069028741,Diamond Mrigendra,8496981902,9121228741,9121228741.0,Tirupati
T Nagar Bazullah Road,8069028724,Mr. Arun Kumar,8939879978,8939879974,4465556010.0,Chennai
The Grand Mall Velachery,8069028724,Subransu sekhar Mangaraj,8939879979,8939878494,,Chennai
TI Mall,8069028754,Vikram singh,8448284501,8448481239,8448481239.0,Indore
"Times Square, Sakinaka",8069028718,Shiv Singh Bisht,8657914079,8657914081,8657914082.0,Mumbai
Tonk Road,7728889952,Surya Prakash,7728889954,7728889952,7728889953.0,Jaipur
Town Hall,8069028740,SANJAY BERA,8939879983,8939878487,,Coimbatore
"Trade Centre, BKC",8069028718,Dharmendra Kumar,8657580765,8657580761,8657580762.0,Mumbai
"Traffic More, Sodepur",8069028723,Mr.Supriyo Mondal,7225018190,7225018191,7225018192.0,Kolkata
Udeshna Building,8069028750,Vikram Dogra,7225025292,7225025293,7225025298.0,Guwahati
"Unity Mall, Janakpuri",9311177719,ANIL KUMAR SEN,9810445315,9311177719,9311177719.0,New Delhi
"Urban Estate, Phase 2",7087036544,PREM SINGH,7087036547,7087036544,7087036543.0,Patiala
Vadapalani,8069028724,Mr. Sambit Sarkar,8939879982,8939878499,,Chennai
Veeras Vega,8069028765,Rajib Sekh,8939836550,8939836548,8939836549.0,Erode
"Vegas Mall, Sec-14, Dwarka",7428693502,Sunil Singh,7428693504,7428693502,7428693501.0,New Delhi
"Venkatagiri Plaza, Gokul Road",8069028782,Sunil,8310469144,7090757058,7090757058.0,Hubli
"Virasha STC, Gulmohar Colony",8069028753,GAURI SHANKAR,9319294265,9319294267,9319294266.0,Bhopal
Vithal Udyognagar Anand,8069028721,Santosh Safi,7486025186,7486033477,7486033478.0,Anand
Waltair Road Vizag,8069028733,BASANTA KUMAR NAYAK,7416306000,7416206000,7416206000.0,Visakhapatnam
"Westend Mall, Aundh",8069028725,Bihanga Biswas,8657001860,8657001857,8657001858.0,Pune
"Xperia Mall,Dombivli",7506615175,Kaushik Sheikh,7506615175,7506615363,7506615280.0,Mumbai
Yelahanka,8069028722,Ramesh,9071786745,9071786742,9071786743.0,Bengaluru
"YK Nagar, Virar West",8069028718,Irfan Bhat,7718820224,8291280462,,Mumbai
"Z Square Mall, MG Road",8069028708,SATISH THAKUR,7982767507,9129888227,9346609592.0,Kanpur
