primary_name,Week Name,Session Name,Offer Name,Per Pax Coupon Value,Fixed Coupon Value,From Group Size,To Group Size,VoucherHeadId,city
"Caculo Mall, Panaji",MONDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Goa
"Caculo Mall, Panaji",TUESDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Goa
"Caculo Mall, Panaji",TUESDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Goa
"Caculo Mall, Panaji",SUNDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Goa
"Caculo Mall, Panaji",SUNDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Goa
"Caculo Mall, Panaji",WEDNESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Goa
"Caculo Mall, Panaji",WEDNESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Goa
"Caculo Mall, Panaji",THURSDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Goa
"Caculo Mall, Panaji",THURSDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Goa
"Caculo Mall, Panaji",FRIDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Goa
"Caculo Mall, Panaji",FRIDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Goa
"Caculo Mall, Panaji",SATURDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Goa
"Caculo Mall, Panaji",SATURDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Goa
"Caculo Mall, Panaji",MONDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Goa
T Nagar Bazullah Road,SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Chennai
T Nagar Bazullah Road,SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Chennai
T Nagar Bazullah Road,MONDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
T Nagar Bazullah Road,MONDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Chennai
T Nagar Bazullah Road,TUESDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
T Nagar Bazullah Road,TUESDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Chennai
T Nagar Bazullah Road,WEDNESDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
T Nagar Bazullah Road,WEDNESDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Chennai
T Nagar Bazullah Road,THURSDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
T Nagar Bazullah Road,THURSDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Chennai
T Nagar Bazullah Road,FRIDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
T Nagar Bazullah Road,FRIDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Chennai
T Nagar Bazullah Road,SATURDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
T Nagar Bazullah Road,SATURDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Chennai
Vadapalani,SATURDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
Vadapalani,SUNDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Chennai
Vadapalani,SUNDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
Vadapalani,MONDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
Vadapalani,MONDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
Vadapalani,TUESDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
Vadapalani,TUESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
Vadapalani,WEDNESDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
Vadapalani,WEDNESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
Vadapalani,THURSDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
Vadapalani,THURSDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
Vadapalani,FRIDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
Vadapalani,FRIDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
Vadapalani,SATURDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Chennai
Indiranagar,MONDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Indiranagar,TUESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Indiranagar,WEDNESDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Indiranagar,THURSDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Indiranagar,FRIDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Indiranagar,SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Indiranagar,SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Indiranagar,MONDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Indiranagar,TUESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Indiranagar,WEDNESDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Indiranagar,THURSDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Indiranagar,FRIDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Indiranagar,SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Indiranagar,SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Lido Mall Mg Road,MONDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Lido Mall Mg Road,TUESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Lido Mall Mg Road,WEDNESDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Lido Mall Mg Road,THURSDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Lido Mall Mg Road,FRIDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Lido Mall Mg Road,SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Lido Mall Mg Road,SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Lido Mall Mg Road,MONDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Lido Mall Mg Road,TUESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Lido Mall Mg Road,WEDNESDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Lido Mall Mg Road,THURSDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Lido Mall Mg Road,FRIDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Lido Mall Mg Road,SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Lido Mall Mg Road,SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Koramangala 1st Block,MONDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Koramangala 1st Block,TUESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Koramangala 1st Block,WEDNESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Koramangala 1st Block,THURSDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Koramangala 1st Block,FRIDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Koramangala 1st Block,SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Koramangala 1st Block,SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Koramangala 1st Block,MONDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Koramangala 1st Block,TUESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Koramangala 1st Block,WEDNESDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Koramangala 1st Block,THURSDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Koramangala 1st Block,FRIDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Koramangala 1st Block,SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Koramangala 1st Block,SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
JP Nagar,SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
JP Nagar,SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
JP Nagar,MONDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Bengaluru
JP Nagar,MONDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Bengaluru
JP Nagar,TUESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
JP Nagar,TUESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
JP Nagar,WEDNESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
JP Nagar,WEDNESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
JP Nagar,THURSDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Bengaluru
JP Nagar,THURSDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Bengaluru
JP Nagar,FRIDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
JP Nagar,FRIDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
JP Nagar,SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
JP Nagar,SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
"ITPL,Whitefield",MONDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
"ITPL,Whitefield",TUESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
"ITPL,Whitefield",WEDNESDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
"ITPL,Whitefield",THURSDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
"ITPL,Whitefield",FRIDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
"ITPL,Whitefield",SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
"ITPL,Whitefield",SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
"ITPL,Whitefield",MONDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
"ITPL,Whitefield",TUESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
"ITPL,Whitefield",WEDNESDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
"ITPL,Whitefield",THURSDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
"ITPL,Whitefield",FRIDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
"ITPL,Whitefield",SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
"ITPL,Whitefield",SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Electronic City,SUNDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Electronic City,SUNDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Electronic City,MONDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Electronic City,MONDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Electronic City,TUESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Electronic City,TUESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Electronic City,WEDNESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Electronic City,WEDNESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Electronic City,THURSDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Electronic City,THURSDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Electronic City,FRIDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Electronic City,FRIDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Electronic City,SATURDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Electronic City,SATURDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Kalyan Nagar,SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Kalyan Nagar,SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Kalyan Nagar,MONDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Bengaluru
Kalyan Nagar,MONDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Bengaluru
Kalyan Nagar,TUESDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Bengaluru
Kalyan Nagar,TUESDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Bengaluru
Kalyan Nagar,WEDNESDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Bengaluru
Kalyan Nagar,WEDNESDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Bengaluru
Kalyan Nagar,THURSDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Bengaluru
Kalyan Nagar,THURSDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Bengaluru
Kalyan Nagar,FRIDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Bengaluru
Kalyan Nagar,FRIDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Bengaluru
Kalyan Nagar,SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
Kalyan Nagar,SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Bengaluru
"Mak Mall, Kankanady",MONDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Mangalore
"Mak Mall, Kankanady",MONDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Mangalore
"Mak Mall, Kankanady",TUESDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Mangalore
"Mak Mall, Kankanady",TUESDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Mangalore
"Mak Mall, Kankanady",SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mangalore
"Mak Mall, Kankanady",SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mangalore
"Mak Mall, Kankanady",WEDNESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mangalore
"Mak Mall, Kankanady",WEDNESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Mangalore
"Mak Mall, Kankanady",THURSDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mangalore
"Mak Mall, Kankanady",THURSDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Mangalore
"Mak Mall, Kankanady",FRIDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mangalore
"Mak Mall, Kankanady",FRIDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Mangalore
"Mak Mall, Kankanady",SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mangalore
"Mak Mall, Kankanady",SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mangalore
"City Center Mall, Untwadi Road",SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Nashik
"City Center Mall, Untwadi Road",MONDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Nashik
"City Center Mall, Untwadi Road",FRIDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Nashik
"City Center Mall, Untwadi Road",SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Nashik
"City Center Mall, Untwadi Road",SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Nashik
"City Center Mall, Untwadi Road",MONDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Nashik
"City Center Mall, Untwadi Road",FRIDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Nashik
"City Center Mall, Untwadi Road",SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Nashik
"City Center Mall, Untwadi Road",TUESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Nashik
"City Center Mall, Untwadi Road",TUESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Nashik
"City Center Mall, Untwadi Road",WEDNESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Nashik
"City Center Mall, Untwadi Road",WEDNESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Nashik
"City Center Mall, Untwadi Road",THURSDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Nashik
"City Center Mall, Untwadi Road",THURSDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Nashik
"Metro Junction Mall, Kalyan",TUESDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Mumbai
"Metro Junction Mall, Kalyan",TUESDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Mumbai
"Metro Junction Mall, Kalyan",WEDNESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Metro Junction Mall, Kalyan",WEDNESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Metro Junction Mall, Kalyan",SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Metro Junction Mall, Kalyan",SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Metro Junction Mall, Kalyan",THURSDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Mumbai
"Metro Junction Mall, Kalyan",MONDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Mumbai
"Metro Junction Mall, Kalyan",THURSDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Mumbai
"Metro Junction Mall, Kalyan",MONDAY,Dinner,Coupon per pax,50,0,1,10000,69683.0,Mumbai
"Metro Junction Mall, Kalyan",FRIDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Metro Junction Mall, Kalyan",FRIDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Mumbai
"Metro Junction Mall, Kalyan",SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Mumbai
"Metro Junction Mall, Kalyan",SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Mumbai
Banjara Hills,SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
Banjara Hills,MONDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Hyderabad
Banjara Hills,MONDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Hyderabad
Banjara Hills,TUESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Hyderabad
Banjara Hills,WEDNESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Hyderabad
Banjara Hills,THURSDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Hyderabad
Banjara Hills,FRIDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
Banjara Hills,TUESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Hyderabad
Banjara Hills,WEDNESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Hyderabad
Banjara Hills,THURSDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Hyderabad
Banjara Hills,FRIDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
Banjara Hills,SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
Banjara Hills,SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
Banjara Hills,SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
"Nanakramguda Road, Gachibowli",SUNDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
"Nanakramguda Road, Gachibowli",SATURDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
"Nanakramguda Road, Gachibowli",THURSDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
"Nanakramguda Road, Gachibowli",FRIDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
"Nanakramguda Road, Gachibowli",TUESDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Hyderabad
"Nanakramguda Road, Gachibowli",SUNDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
"Nanakramguda Road, Gachibowli",SATURDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
"Nanakramguda Road, Gachibowli",WEDNESDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
"Nanakramguda Road, Gachibowli",FRIDAY,Lunch,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
"Nanakramguda Road, Gachibowli",MONDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Hyderabad
"Nanakramguda Road, Gachibowli",TUESDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Hyderabad
"Nanakramguda Road, Gachibowli",WEDNESDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
"Nanakramguda Road, Gachibowli",MONDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Hyderabad
"Nanakramguda Road, Gachibowli",THURSDAY,Dinner,Coupon per pax,100,0,1,10000,69685.0,Hyderabad
The Grand Mall Velachery,SUNDAY,Lunch,Coupon per pax,75,0,1,10000,69684.0,Chennai
The Grand Mall Velachery,SUNDAY,Dinner,Coupon per pax,75,0,1,10000,69684.0,Chennai
The Grand Mall Velachery,MONDAY,Lunch,Coupon per pax,50,0,1,10000,69683.0,Chennai
